step,mse_Ez,mae_Ez,psnr_Ez,rel_mean_Ez,mse_Hx,mae_Hx,psnr_Hx,rel_mean_Hx,mse_Hy,mae_Hy,psnr_Hy,rel_mean_Hy
0,0.0009744217763185779,0.024811968002595844,22.38636021176992,1.2724742730500311,1.421952326448538e-09,2.8655948875695176e-05,31.425403009241503,0.30649227629081977,1.421952326448538e-09,2.8655948875695176e-05,31.425403009241503,0.30649227629081977
1,0.000966465855189694,0.024737079240587212,22.519228011685385,0.9105404270195121,1.3558153745897847e-09,2.801528750950379e-05,31.896919040940034,0.5020677184364123,1.3558153745897847e-09,2.801528750950379e-05,31.896919040940034,0.50206771781471
2,0.0009475151666526981,0.02447684735329498,24.559521789471034,0.6457499944707377,1.4721631010974532e-09,2.912000903258471e-05,31.753588868391518,0.27882499920256115,1.4721631010974534e-09,2.912000903258471e-05,31.753588868391518,0.27882500144101724
3,0.0009182435450911939,0.024046163883357074,26.273697448288843,0.5146457843977121,1.7667591083212717e-09,3.157186887825526e-05,31.126328746907213,0.3102859530807879,1.7667591083212717e-09,3.1571868878255253e-05,31.126328746907213,0.31028595430957373
4,0.0008798305268445744,0.02346371252969741,27.700940575967948,0.39217086688021907,2.2281473374072033e-09,3.4944636581573414e-05,30.212752367717833,0.3996294238992812,2.2281473374072033e-09,3.494463658157343e-05,30.212752367717833,0.3996294257000975
5,0.0008338790582863435,0.022727008005857204,28.940860469430397,0.4590839366728224,2.8381482161947145e-09,3.904392431182221e-05,29.1679769309688,0.5174915911300993,2.8381482161947145e-09,3.9043924311822216e-05,29.1679769309688,0.517491593182164
6,0.0007822607899569976,0.021871434211075836,30.09347038032699,1.5849754583252298,3.5736871575217603e-09,4.359497784612372e-05,28.095891439186676,0.6093440033369127,3.5736871575217603e-09,4.359497784612372e-05,28.095891439186676,0.6093440044359796
7,0.0007270950407315555,0.020905878889456293,31.116092676171313,0.34070966024128874,4.4084149521613555e-09,4.8246044020303704e-05,27.114016885620764,0.5765965686016649,4.408414952161356e-09,4.8246044020303704e-05,27.114016885620764,0.5765965689481534
8,0.0006705532653277675,0.01987000556999562,31.981232558281903,0.3512807219193686,5.31395523524394e-09,5.268741556400919e-05,26.15666038554871,0.7498986799036949,5.313955235243939e-09,5.268741556400919e-05,26.15666038554872,0.7498986812648206
9,0.0006148236218968195,0.01878895777508787,32.7820130437487,0.3494838666674163,6.261636599084229e-09,5.681326102492892e-05,25.20323150560474,0.7972115805388562,6.261636599084229e-09,5.6813261024928905e-05,25.20323150560474,0.7972115829528911
10,0.0005619926181918848,0.0177089853872736,33.50600901386398,0.3278665179870869,7.2246474985503704e-09,6.055386344310763e-05,24.222422848636832,0.6666393579751821,7.224647498550369e-09,6.0553863443107636e-05,24.222422848636832,0.6666393602229903
11,0.0005139965682230895,0.016700606353905897,34.10687872779577,0.26623100324477056,8.178771304740995e-09,6.38733393094868e-05,23.193740445467483,0.7046985896026308,8.178771304740995e-09,6.387333930948683e-05,23.193740445467483,0.7046985916295719
12,0.00047253118630435865,0.015814577073533155,34.57696712244787,0.33804747985335976,9.102276695338452e-09,6.671546108660602e-05,22.093758787364727,0.7092938574761881,9.10227669533845e-09,6.671546108660602e-05,22.093758787364727,0.709293861006241
13,0.0004390401338736348,0.015061346929290387,34.921355868356116,0.35219591834236313,9.976876223886618e-09,6.912097796414303e-05,20.889047848282786,2.1033387331954225,9.976876223886618e-09,6.912097796414303e-05,20.889047848282786,2.103338734649755
14,0.0004146610752173017,0.014465335146912329,35.11199474512782,1.2096239818320007,1.078915287999049e-08,7.106136732872319e-05,19.52895967962094,1.39187259453414,1.0789152879990492e-08,7.106136732872319e-05,19.52895967962094,1.3918725954035818
15,0.00040019683898379467,0.01409065590377714,35.13134952813217,0.3152799867213835,1.1529756730384145e-08,7.25687288500387e-05,17.960273214622298,11.376781545365906,1.1529756730384144e-08,7.25687288500387e-05,17.960273214622298,11.376781545673543
16,0.000396073986430583,0.014053908669613228,34.943855687670904,0.40410881066256177,1.2191782444093405e-08,7.361964577168691e-05,16.097676849391156,1.4076900590966406,1.2191782444093403e-08,7.361964577168691e-05,16.097676849391156,1.4076900602214208
17,0.00040236159465465007,0.014326122576459288,34.5665892332006,0.49419594232244257,1.2771278549008263e-08,7.423975300325578e-05,14.430854630985202,1.5206495218357665,1.2771278549008263e-08,7.423975300325578e-05,14.430854630985202,1.5206495228772834
18,0.0004187063592129777,0.014845273644842333,34.030226534225285,0.4199729471468114,1.3268480172043098e-08,7.439399648341005e-05,13.584143868655957,1.8997493303323034,1.3268480172043098e-08,7.439399648341005e-05,13.584143868655957,1.8997493316741527
19,0.00044437976514503306,0.015469784016226283,33.31259779584365,1.2685122554196262,1.3686334915359118e-08,7.409262132861576e-05,13.176039406833425,3.7683758952095814,1.3686334915359116e-08,7.409262132861576e-05,13.176039406833425,3.768375896360443
20,0.0004782305367557513,0.016131376732948847,32.474089487907854,0.4261015610757595,1.402798537908326e-08,7.331721614269355e-05,14.698699140261615,2.3093227052242127,1.402798537908326e-08,7.331721614269354e-05,14.698699140261615,2.3093227061599717
21,0.0005187880290389359,0.016804734479603546,31.52856449837271,0.45227518138396033,1.4297350206111103e-08,7.215256288045143e-05,15.969202000314716,15.591425399281002,1.42973502061111e-08,7.215256288045143e-05,15.969202000314716,15.591425400434504
